,id,user_id,vehicle_model_id,package_id,travel_type_id,from_area_id,to_area_id,from_city_id,to_city_id,from_date,to_date,online_booking,mobile_site_booking,booking_created,from_lat,from_long,to_lat,to_long,Unnamed: 18,Unnamed: 19,Car_cancellation
0,132516,22179,12,,2,1096.0,393.0,,,1/1/2013 9:30,,0,0,1/1/2013 7:51,12.96519,77.71932,13.19956,77.70688,,,0
1,132529,22187,65,,2,1061.0,393.0,,,1/2/2013 1:00,,0,0,1/1/2013 12:11,12.924878,77.566255,13.19956,77.70688,,,0
2,132532,23180,12,,2,1192.0,353.0,,,1/2/2013 4:30,,0,0,1/1/2013 12:22,12.97677,77.5727,13.03241,77.59914,,,0
3,132547,30849,12,,2,515.0,849.0,,,1/1/2013 20:15,,0,0,1/1/2013 16:51,12.97896,77.67345,12.95434,77.60072,,,0
4,132548,22198,12,,2,83.0,463.0,,,1/3/2013 0:30,,0,0,1/1/2013 17:04,12.92415,77.67229,12.96037,77.58132,,,0
5,132549,22199,12,,2,1052.0,393.0,,,1/2/2013 3:30,,0,0,1/1/2013 17:06,12.912695,77.576265,13.19956,77.70688,,,0
6,132554,12997,12,,2,1330.0,590.0,,,1/2/2013 8:45,,0,0,1/1/2013 17:34,12.953434,77.70651,13.00826,77.56433,,,0
7,132560,20380,12,,2,1068.0,1384.0,,,1/1/2013 19:30,,0,0,1/1/2013 18:32,13.044009,77.606805,13.02853,77.54625,,,0
8,132562,21635,85,,2,571.0,243.0,,,1/2/2013 6:00,,0,0,1/1/2013 18:45,12.95185,77.69642,13.24373,77.70915,,,0
9,132565,403,28,,2,1192.0,83.0,,,1/2/2013 7:15,,0,0,1/1/2013 19:02,12.97677,77.5727,12.92415,77.67229,,,0
10,132575,22215,12,,2,293.0,1069.0,,,1/2/2013 10:00,,0,0,1/1/2013 20:27,12.849482,77.663187,12.949764,77.643524,,,0
11,132582,22218,12,,2,585.0,58.0,,,1/2/2013 9:00,,0,0,1/1/2013 21:45,12.97677,77.5727,12.88963,77.60119,,,0
12,132584,22219,12,,2,849.0,186.0,,,1/2/2013 8:45,,0,0,1/1/2013 22:10,12.95434,77.60072,12.80257,77.70453,,,0
13,132586,22220,12,,1,1086.0,,15.0,32.0,1/2/2013 7:00,1/2/2013,0,0,1/1/2013 22:27,12.907487,77.64729,,,,,0
14,132593,18298,24,,2,1192.0,832.0,,,1/2/2013 9:45,,0,0,1/2/2013 7:39,12.97677,77.5727,12.88019,77.64558,,,0
15,132601,22224,12,,2,1084.0,585.0,,,1/2/2013 15:15,,0,0,1/2/2013 8:57,12.892657,77.581866,12.97677,77.5727,,,0
16,132603,22225,12,,2,1173.0,963.0,,,1/2/2013 10:00,,0,0,1/2/2013 9:06,12.959979,77.647998,12.99111,77.59204,,,0
17,132613,22231,85,,2,1286.0,393.0,,,1/2/2013 12:45,,0,0,1/2/2013 11:12,12.973448,77.62032,13.19956,77.70688,,,0
18,132622,22237,12,,1,393.0,,15.0,29.0,1/5/2013 8:15,1/7/2013,0,0,1/2/2013 12:15,13.19956,77.70688,,,,,0
19,132636,22244,12,,2,977.0,1098.0,,,1/2/2013 16:30,,0,0,1/2/2013 15:34,12.969933,77.533286,12.93652,77.54481,,,0
20,132647,19489,12,,2,393.0,308.0,,,1/3/2013 1:00,,1,0,1/2/2013 17:19,13.19956,77.70688,12.99049,77.69798,,,0
21,132654,21893,12,,2,156.0,1384.0,,,1/2/2013 20:30,,0,0,1/2/2013 18:41,13.02622,77.70143,13.02853,77.54625,,,0
22,132655,22253,12,,2,393.0,58.0,,,1/2/2013 23:30,,0,0,1/2/2013 18:46,13.19956,77.70688,12.88963,77.60119,,,0
23,132660,22256,12,,2,1181.0,572.0,,,1/2/2013 21:00,,0,0,1/2/2013 19:20,12.97896,77.67345,12.91873,77.61494,,,0
24,132680,18929,12,,2,571.0,1010.0,,,1/3/2013 5:45,,0,0,1/3/2013 5:27,12.95185,77.69642,12.96691,77.74935,,,0
25,132691,4141,85,,2,1010.0,393.0,,,1/3/2013 20:30,,0,0,1/3/2013 9:58,12.96691,77.74935,13.19956,77.70688,,,0
26,132696,19545,12,,2,105.0,1334.0,,,1/3/2013 15:45,,1,0,1/3/2013 11:02,13.01766,77.64503,13.050994,77.593661,,,0
27,132711,22284,28,,2,207.0,1021.0,,,1/3/2013 22:00,,0,0,1/3/2013 15:27,13.00435,77.61642,13.02853,77.54625,,,0
28,132726,18034,12,,2,1183.0,1371.0,,,1/5/2013 7:15,,0,0,1/3/2013 17:55,12.965563,77.668576,13.000418,77.674835,,,0
29,132735,22299,12,,2,1150.0,393.0,,,1/4/2013 2:30,,0,0,1/3/2013 20:09,12.99287,77.71662,13.19956,77.70688,,,0
30,132746,20764,12,,2,1192.0,172.0,,,1/4/2013 1:30,,1,0,1/3/2013 22:58,12.97677,77.5727,12.97091,77.6305,,,0
